TotalCharges,tenure,MonthlyCharges,InternetService_Fiber optic,PaymentMethod_Electronic check,Contract_Two year,gender_Male,OnlineSecurity_Yes,PaperlessBilling_Yes,Partner_Yes,TechSupport_Yes,SeniorCitizen,Churn
29.85,1,29.85,False,True,False,False,False,True,True,False,0,0
1889.5,34,56.95,False,False,False,True,True,False,False,False,0,0
108.15,2,53.85,False,False,False,True,True,True,False,False,0,1
1840.75,45,42.3,False,False,False,True,True,False,False,True,0,0
151.65,2,70.7,True,True,False,False,False,True,False,False,0,1
820.5,8,99.65,True,True,False,False,False,True,False,False,0,1
1949.4,22,89.1,True,False,False,True,False,True,False,False,0,0
301.9,10,29.75,False,False,False,False,True,False,False,False,0,0
3046.05,28,104.8,True,True,False,False,False,True,True,True,0,1
3487.95,62,56.15,False,False,False,True,True,False,False,False,0,0
587.45,13,49.95,False,False,False,True,True,True,True,False,0,0
326.8,16,18.95,False,False,True,True,False,False,False,False,0,0
5681.1,58,100.35,True,False,False,True,False,False,True,False,0,0
5036.3,49,103.7,True,False,False,True,False,True,False,False,0,1
2686.05,25,105.5,True,True,False,True,True,True,False,True,0,0
7895.15,69,113.25,True,False,True,False,True,False,True,True,0,0
1022.95,52,20.65,False,False,False,False,False,False,False,False,0,0
7382.25,71,106.7,True,False,True,True,True,False,False,False,0,0
528.35,10,55.2,False,False,False,False,False,False,True,True,0,1
1862.9,21,90.05,True,True,False,False,False,True,False,False,0,0
39.65,1,39.65,False,True,False,True,False,True,False,False,1,1
202.25,12,19.8,False,False,False,True,False,False,True,False,0,0
20.15,1,20.15,False,False,False,True,False,False,False,False,0,1
3505.1,58,59.9,False,False,True,False,False,True,True,True,0,0
2970.3,49,59.6,False,False,False,True,True,False,True,True,0,0
1530.6,30,55.3,False,False,False,False,True,True,False,False,0,0
4749.15,47,99.35,True,True,False,True,False,True,True,False,0,1
30.2,1,30.2,False,True,False,True,False,False,True,False,0,1
6369.45,72,90.25,False,False,True,True,True,True,True,True,0,0
1093.1,17,64.7,False,False,False,False,False,True,False,False,0,1
6766.95,71,96.35,True,False,True,False,True,True,True,True,1,0
181.65,2,95.5,True,False,False,True,False,True,True,False,1,0
1874.45,27,66.15,False,False,False,False,True,False,True,True,0,0
20.2,1,20.2,False,False,False,True,False,False,False,False,0,0
